assy,Op,WC,Item,Q,Description,U
2728-2017-684,10,PICK,6600-0025-003,2.89,"ANGLE 1/4""X1.5""X1.5""X20FT A-36 CS",EA
2728-2017-684,10,PICK,7215-0150-000,35.5,"TUBING SQ. 1.5""X1.5X11GAX24FT HR CS",EA
2730-2017-648,10,PICK,PN_MISSING,65.0,"TUBING SQ. 3""X3""X1/4""X24FT HR CS",EA
3715-2000-297,10,PICK,3715-2000-297-1,1.0,BELT GUARD CS,EA
3715-2000-297,10,PICK,3715-2000-297-2,1.0,BELT GUARD FRONT COVER CS,EA
3715-2000-297,10,PICK,3715-2000-297-3,1.0,BELT GUARD ACCESS COVER CS,EA
3715-2000-297,10,PICK,HARDWARE,17.0,.25-10 UNC X .625 LONG HEX HEAD SCREW  GR8,EA
3715-2000-297-1,10,PICK,-----,1.0,----- sw_description_missing -----,EA
3715-2000-297-1,10,PICK,3812-0025-002,3.0,----- sw_description_missing -----,EA
3715-2000-297-1,10,PICK,6600-0025-000,59.13,----- sw_description_missing -----,EA
3715-2000-297-1,10,PICK,6600-0025-003,13.0,"ANGLE 1/4""X1.5""X1.5""X20FT A-36 CS",EA
3715-2000-297-1,10,PICK,6602-0600-000,2.0,----- sw_description_missing -----,EA
3715-2000-297-1,10,PICK,6652-0025-000,24.5,"STOCK FLAT 1/4""X1""X20FT CS",EA
3715-2000-297-2,10,PICK,-----,3.0,----- sw_description_missing -----,EA
3715-2000-297-2,10,PICK,6602-0600-000,2.0,----- sw_description_missing -----,EA
3715-2000-297-3,10,PICK,PN_MISSING,1.0,----- sw_description_missing -----,EA
6600-0025-004,10,PICK,6600-0025-004,21.0,"ANGLE 1/4""X3""X3""X20FT A-36 CS",EA
7200-0025-001,10,PICK,7200-0025-001^7200-0025-001-4700-1203-SCAV,1.0,----- sw_description_missing -----,EA
